region,position,month,day,year,region.1,streams,artist,track_name,track_id,duration_ms,time_signature,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
global,88,1,1,2017,global,586302,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,0tICYNayWWhH9GPeFrfjfD,195547,4,0.7929999999999999,0.7290000000000001,0,-4.77,0,0.0394,0.08,3.1e-05,0.317,0.488,121.972
global,89,1,1,2017,global,580939,Drake,Sneakin’,4ckuS4Nj4FZ7i3Def3Br8W,251333,4,0.804,0.56,8,-6.682,1,0.185,0.00479,0.0,0.16399999999999998,0.272,85.023
global,90,1,1,2017,global,580826,Young M.A,OOOUUU,7JYsArznYOjX2jsrT3UEnL,234650,4,0.635,0.847,7,-3.152,1,0.447,0.5329999999999999,0.0,0.154,0.568,166.072
global,91,1,1,2017,global,579504,Cashmere Cat,Trust Nobody (feat. Selena Gomez & Tory Lanez),2wDjpPW3HZdA9quPPmZAMu,215670,5,0.42,0.636,10,-7.216,1,0.22,0.494,0.0,0.122,0.784,156.10399999999996
global,92,1,1,2017,global,577810,Noah Cyrus,Make Me (Cry),2BrzlUj1u1CtvaJDGIKpsP,242081,4,0.588,0.471,0,-7.287000000000001,1,0.0577,0.5920000000000001,0.00146,0.0733,0.209,152.881
global,93,1,1,2017,global,570299,Luke Christopher,Lot to Learn,2HzfRSfCogBSsgW2CckVA2,248387,4,0.422,0.852,6,-3.5460000000000003,1,0.208,0.0845,0.0,0.0687,0.6659999999999999,82.914
global,94,1,1,2017,global,567927,Jonas Blue,Fast Car,6OZh916QF8XNunWaP97WEZ,212424,4,0.459,0.5870000000000001,9,-6.983,1,0.0785,0.453,0.0,0.307,0.581,113.901
global,95,1,1,2017,global,567639,Chance the Rapper,No Problem (feat. Lil Wayne & 2 Chainz),0v9Wz8o0BT8DU38R4ddjeH,304607,4,0.652,0.795,11,-5.192,0,0.174,0.156,0.0,0.123,0.7879999999999999,135.018
global,96,1,1,2017,global,565509,Adele,Water Under the Bridge,4vb4mFvYsr2h6enhjJsq9Y,240427,4,0.596,0.838,5,-6.52,0,0.0704,0.0189,1.5399999999999998e-05,0.108,0.472,94.982
global,97,1,1,2017,global,561342,Little Mix,Shout Out to My Ex,0YHUITU3w6ws1v8ehT264g,246240,4,0.774,0.7390000000000001,0,-4.022,1,0.0952,0.0316,5.95e-06,0.119,0.823,126.002
global,98,1,1,2017,global,553704,21 Savage,No Heart,4gmmRb6bZJffOOiww1JGTO,235040,4,0.906,0.444,4,-8.692,0,0.384,0.136,6.440000000000001e-05,0.173,0.6779999999999999,140.063
global,99,1,1,2017,global,552314,DJ Snake,Middle,4OZEu0Vwq0RB2LAq14v99n,220573,4,0.611,0.7,9,-5.331,1,0.0436,0.0199,0.0,0.0549,0.213,104.981
global,100,1,1,2017,global,549784,Ozuna,Dile Que Tu Me Quieres,20ZAJdsKB5IGbGj4ilRt2o,226400,4,0.721,0.687,1,-6.682,1,0.0782,0.0998,0.0,0.0679,0.825,175.91400000000004
global,80,1,2,2017,global,640308,Petit Biscuit,Sunset Lover,0hNduWmlWmEmuwEFcYvRu1,237793,4,0.7829999999999999,0.467,6,-9.474,1,0.0503,0.7290000000000001,0.809,0.109,0.236,90.838
global,91,1,2,2017,global,595989,Ed Sheeran,Photograph,6fxVffaTuwjgEk5h9QyRjy,258987,4,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989
global,92,1,2,2017,global,587502,Jon Bellion,All Time Low,1CnPYaKxTVb4LWOtiGOm0m,217603,4,0.617,0.5670000000000001,0,-4.188,1,0.0828,0.0584,0.0,0.0933,0.505,90.246
global,93,1,2,2017,global,583636,FRENSHIP,Capsize,2XMTqoHHSH0lvuXrvIEdco,237707,4,0.6829999999999999,0.708,5,-6.244,0,0.0305,0.0398,0.155,0.6859999999999999,0.355,92.991
global,94,1,2,2017,global,574420,Bruno Mars,Versace On The Floor,0kN8xEmgMW9mh7UmDYHlJP,261240,4,0.578,0.574,2,-6.209,1,0.0454,0.196,0.0,0.083,0.301,174.15200000000004
global,95,1,2,2017,global,572652,Vice,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),40UroIGvsMPLPBYwH8rMNA,177095,4,0.779,0.6709999999999999,9,-5.829,1,0.0814,0.153,1.12e-05,0.115,0.718,104.953
global,98,1,2,2017,global,565662,Andy Grammer,Fresh Eyes,4nMlau89VAjmV7agkl7OY3,198001,4,0.8220000000000001,0.544,0,-6.7970000000000015,1,0.0332,0.562,2.4e-05,0.14400000000000002,0.861,122.047
global,100,1,2,2017,global,561031,Bebe Rexha,I Got You,1FUViuNSldssMIawrOXF2i,191812,4,0.609,0.887,9,-4.749,0,0.0507,0.0504,4.76e-06,0.09,0.316,97.99
global,96,1,3,2017,global,621313,The Weeknd,Sidewalks,4h90qkbnW1Qq6pBhoPvwko,231360,4,0.542,0.721,1,-5.136,0,0.0625,0.147,0.0,0.348,0.623,149.83100000000005
global,99,1,3,2017,global,616045,Hearts & Colors,Lighthouse - Andrelli Remix,04CttTezSnv71USiiG9mIo,218447,4,0.595,0.662,11,-6.858,0,0.0362,0.0178,0.0,0.0804,0.417,96.053
global,44,1,4,2017,global,1075120,Aminé,Caroline,5hTpBe8h35rJ67eAWHQsJx,209640,4,0.941,0.335,5,-10.179,0,0.505,0.17,0.0,0.262,0.7070000000000001,120.041
global,97,1,4,2017,global,625740,AJR,Weak,3E2Zh20GDCR9B1EYjfXWyv,201160,4,0.6729999999999999,0.637,5,-4.518,1,0.0429,0.13699999999999998,0.0,0.184,0.6779999999999999,123.98
global,28,1,5,2017,global,1406792,The Vamps,All Night,1yNyoWWWikbLhwIGWjZuDW,197793,4,0.563,0.775,8,-6.433,1,0.0366,0.00251,0.0,0.326,0.458,144.945
global,33,1,5,2017,global,1333151,Sage The Gemini,Now and Later,43jBqV3j3Xi1g6wO0bhIMd,193181,4,0.7809999999999999,0.57,11,-5.874,0,0.188,0.273,0.0,0.196,0.858,107.059
global,44,1,5,2017,global,1085094,Aminé,Caroline,5GFDrUTLGJix84sNhjCG0g,209747,4,0.945,0.394,10,-8.571,1,0.4920000000000001,0.303,0.0,0.131,0.743,120.058
global,59,1,5,2017,global,850862,Jonas Blue,Perfect Strangers,1CUVN2kn7mW5FjkqXTR2W1,196613,4,0.742,0.8190000000000001,1,-5.307,1,0.0487,0.3720000000000001,0.0,0.277,0.7090000000000001,117.986
global,65,1,5,2017,global,790208,Luke Christopher,Lot to Learn,3TRFq09DUgYj1mug6RRqJW,248337,4,0.405,0.846,6,-3.57,1,0.195,0.0948,0.0,0.0666,0.602,82.23200000000001
global,97,1,5,2017,global,616568,Childish Gambino,Redbone,3kxfsdsCpFgN412fpnW85Y,326933,4,0.745,0.35600000000000004,1,-10.425,1,0.0941,0.172,0.00943,0.123,0.607,160.033
global,99,1,5,2017,global,612365,The Weeknd,Six Feet Under,4mU5iXHeLgbR94siF7p1sY,237573,4,0.772,0.504,6,-8.219,0,0.0761,0.129,0.0,0.125,0.244,140.035
global,1,1,6,2017,global,6151345,Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3,233713,4,0.825,0.652,1,-3.1830000000000003,0,0.0802,0.581,0.0,0.0931,0.931,95.977
